depth,SP,GR,LLD,LLS,DEN,AC,litholody
1247.4,15.73,98.448,1.653,1.353,2.201,107.65,shale
1247.5,15.813,100.235,1.65,1.35,2.183,108.262,shale
1247.6,15.953,102.737,1.634,1.339,2.169,110.944,shale
1247.7,16.157,105.686,1.603,1.319,2.162,114.859,shale
1247.8,16.404,108.453,1.558,1.289,2.161,119.033,shale
1247.9,16.648,110.351,1.502,1.248,2.164,123.143,shale
1248,16.836,110.938,1.443,1.199,2.169,127.143,shale
1248.1,16.935,110.199,1.386,1.147,2.174,130.915,shale
1248.2,16.945,108.59,1.334,1.098,2.177,133.92,shale
1248.3,16.898,106.836,1.291,1.054,2.179,135.944,shale
1248.4,16.84,105.563,1.256,1.018,2.179,137.242,shale
1248.5,16.807,104.905,1.227,0.99,2.179,138.241,shale
1248.6,16.807,104.433,1.204,0.97,2.179,139.166,shale
1248.7,16.82,103.602,1.183,0.957,2.178,139.99,shale
1248.8,16.817,102.142,1.162,0.945,2.178,140.736,shale
1248.9,16.778,100.245,1.141,0.933,2.179,141.375,shale
1249,16.71,98.425,1.12,0.919,2.183,141.96,shale
1249.1,16.643,97.2,1.102,0.904,2.188,142.461,shale
1249.2,16.603,96.885,1.091,0.894,2.194,142.729,shale
1249.3,16.593,97.44,1.091,0.891,2.201,142.655,shale
1249.4,16.584,98.395,1.101,0.897,2.208,142.205,shale
1249.5,16.524,99.061,1.122,0.913,2.215,141.417,shale
1249.6,16.372,98.95,1.153,0.938,2.222,140.486,shale
1249.7,16.125,98.105,1.192,0.968,2.229,139.615,shale
1249.8,15.822,96.935,1.236,1,2.235,138.552,shale
1249.9,15.525,95.865,1.282,1.032,2.24,136.721,shale
1250,15.293,95.251,1.326,1.061,2.244,134.092,shale
1250.1,15.156,95.213,1.364,1.088,2.247,131.548,shale
1250.2,15.101,95.608,1.394,1.113,2.247,130.079,shale
1250.3,15.091,96.023,1.413,1.133,2.246,129.654,shale
1250.4,15.09,95.94,1.42,1.147,2.245,129.586,shale
1250.5,15.081,95.08,1.419,1.156,2.244,129.53,shale
1250.6,15.064,93.521,1.411,1.159,2.245,129.728,shale
1250.7,15.049,91.557,1.402,1.158,2.247,130.321,shale
1250.8,15.035,89.662,1.394,1.156,2.251,130.837,shale
1250.9,15.012,88.311,1.393,1.156,2.254,130.849,shale
1251,14.969,87.799,1.402,1.161,2.256,130.469,shale
1251.1,14.9,88.129,1.425,1.175,2.255,130.039,shale
1251.2,14.817,89.188,1.461,1.2,2.252,129.43,shale
1251.3,14.744,90.802,1.511,1.237,2.245,128.078,shale
1251.4,14.703,92.789,1.572,1.287,2.233,125.661,shale
1251.5,14.704,94.862,1.638,1.344,2.214,122.413,shale
1251.6,14.74,96.701,1.702,1.401,2.189,118.522,shale
