depth,SP,GR,LLD,LLS,DEN,AC,lithology
1510.3,74.341,71.94,5.589,3.861,2.081,129.458,sand
1510.4,74.47,70.093,5.754,3.966,2.086,128.848,sand
1510.5,74.605,68.015,5.9,4.059,2.092,127.84,sand
1510.6,74.749,66.091,6.015,4.132,2.099,126.697,sand
1510.7,74.898,64.514,6.098,4.184,2.109,125.6,sand
1510.8,75.032,63.461,6.157,4.219,2.121,124.573,sand
1510.9,75.136,63.074,6.209,4.246,2.134,123.507,sand
1511,75.202,63.319,6.273,4.279,2.145,122.297,sand
1511.1,75.238,63.917,6.36,4.325,2.154,120.936,sand
1511.2,75.254,64.481,6.469,4.385,2.159,119.509,sand
1511.3,75.264,64.714,6.591,4.454,2.162,118.226,sand
1511.4,75.283,64.465,6.713,4.524,2.164,117.22,sand
1511.5,75.321,63.79,6.823,4.587,2.166,116.507,sand
1511.6,75.38,62.957,6.916,4.64,2.168,116.129,sand
1511.7,75.457,62.268,6.997,4.686,2.17,116.168,sand
1511.8,75.546,61.912,7.076,4.731,2.171,116.584,sand
1511.9,75.649,61.87,7.156,4.776,2.169,117.181,sand
1512,75.758,61.977,7.229,4.818,2.163,117.834,sand
1512.1,75.857,62.072,7.284,4.846,2.153,118.542,sand
1512.2,75.931,62.05,7.307,4.855,2.141,119.317,sand
1512.3,75.968,61.858,7.292,4.84,2.129,119.92,sand
1512.4,75.966,61.486,7.245,4.807,2.121,120.026,sand
1512.5,75.936,60.975,7.183,4.766,2.118,119.65,sand
1512.6,75.899,60.427,7.127,4.73,2.119,119.072,sand
1512.7,75.882,59.824,7.09,4.706,2.123,118.538,sand
1512.8,75.906,59.218,7.075,4.697,2.128,118.029,sand
1512.9,75.973,58.683,7.08,4.701,2.132,117.426,sand
1513,76.063,58.262,7.1,4.715,2.135,116.71,sand
1513.1,76.148,58.022,7.128,4.735,2.136,115.924,sand
1513.2,76.207,58.081,7.16,4.755,2.136,115.22,sand
1513.3,76.233,58.462,7.189,4.772,2.135,114.663,sand
1513.4,76.234,59.138,7.207,4.781,2.131,114.294,sand
1513.5,76.223,59.966,7.207,4.779,2.127,114.261,sand
1513.6,76.213,60.762,7.176,4.758,2.123,114.71,sand
1513.7,76.214,61.31,7.106,4.713,2.122,115.62,sand
1513.8,76.224,61.561,6.995,4.639,2.124,116.625,sand
1513.9,76.237,61.539,6.845,4.538,2.13,117.374,sand
1514,76.25,61.324,6.666,4.412,2.138,117.726,sand
1514.1,76.267,61.003,6.467,4.27,2.146,117.87,sand
1514.2,76.291,60.671,6.261,4.12,2.152,118.015,sand
1514.3,76.319,60.369,6.064,3.974,2.157,118.041,sand
1514.4,76.346,60.064,5.892,3.844,2.161,117.834,sand
1514.5,76.365,59.604,5.762,3.74,2.162,117.15,sand
1514.6,76.368,58.953,5.687,3.672,2.163,115.162,sand
1514.7,76.347,58.263,5.674,3.643,2.163,111.119,shale
1514.8,76.301,57.684,5.721,3.654,2.165,105.608,shale
1514.9,76.239,57.342,5.824,3.7,2.169,100.449,shale
1515,76.175,57.334,5.971,3.775,2.176,97.092,shale
1515.1,76.121,57.574,6.145,3.868,2.186,95.934,shale
1515.2,76.082,57.844,6.323,3.962,2.194,96.88,shale
1515.3,76.058,57.923,6.481,4.041,2.198,99.667,shale
1515.4,76.046,57.708,6.593,4.089,2.195,103.601,shale
1515.5,76.038,57.289,6.641,4.099,2.186,107.235,shale
1515.6,76.034,56.949,6.616,4.066,2.174,109.449,shale
1515.7,76.035,56.989,6.527,3.999,2.161,110.754,shale
1515.8,76.042,57.484,6.397,3.912,2.15,111.596,shale
1515.9,76.049,58.343,6.25,3.818,2.141,111.031,shale
1516,76.051,59.274,6.097,3.723,2.133,108.3,shale
1516.1,76.044,59.943,5.927,3.619,2.127,104.492,shale
