depth(m),SP,GR,LLD,LLS,DEN,AC,lithology
923.4,17.823,91.945,2.337,1.686,2.229,140.499,shale
923.5,17.944,92.273,2.321,1.677,2.229,142.634,shale
923.6,18.143,91.979,2.263,1.641,2.225,142.771,shale
923.7,18.413,91.076,2.173,1.583,2.215,142.447,shale
923.8,18.727,89.861,2.075,1.52,2.201,143.981,shale
923.9,19.045,88.731,1.99,1.466,2.184,147.556,shale
924,19.326,88.093,1.934,1.431,2.168,151.334,shale
924.1,19.538,88.159,1.914,1.42,2.156,153.458,shale
924.2,19.659,88.905,1.931,1.434,2.148,152.841,shale
924.3,19.688,90.096,1.983,1.469,2.145,149.642,shale
924.4,19.634,91.357,2.059,1.521,2.147,145.165,shale
924.5,19.516,92.324,2.148,1.579,2.152,140.851,shale
924.6,19.348,92.74,2.235,1.636,2.159,137.644,shale
924.7,19.149,92.662,2.31,1.682,2.166,136.035,shale
924.8,18.955,92.379,2.368,1.717,2.17,135.735,shale
924.9,18.807,92.225,2.411,1.741,2.173,136.08,shale
925,18.745,92.567,2.438,1.754,2.173,136.377,shale
925.1,18.783,93.568,2.448,1.756,2.172,136.255,shale
925.2,18.896,95.038,2.431,1.742,2.171,135.894,shale
925.3,19.029,96.496,2.381,1.707,2.172,135.762,shale
925.4,19.11,97.468,2.297,1.651,2.173,136.102,shale
925.5,19.082,97.699,2.191,1.581,2.173,136.888,shale
925.6,18.921,97.251,2.081,1.508,2.17,138.121,shale
925.7,18.642,96.475,1.985,1.443,2.164,139.895,shale
925.8,18.291,95.726,1.914,1.395,2.156,142.142,shale
925.9,17.93,95.108,1.873,1.367,2.147,144.468,shale
926,17.612,94.546,1.86,1.358,2.141,146.321,shale
926.1,17.372,93.865,1.872,1.365,2.138,147.29,shale
926.2,17.22,93.132,1.9,1.384,2.138,147.376,shale
926.3,17.146,92.853,1.938,1.41,2.142,146.901,shale
926.4,17.131,93.508,1.978,1.436,2.147,146.225,shale
926.5,17.165,95.082,2.015,1.461,2.152,145.521,shale
926.6,17.246,96.999,2.047,1.482,2.155,144.81,shale
926.7,17.379,98.506,2.074,1.499,2.157,144.172,shale
926.8,17.564,98.981,2.096,1.513,2.157,143.8,shale
926.9,17.786,98.332,2.116,1.524,2.156,143.79,shale
927,18.015,96.999,2.134,1.532,2.154,143.973,shale
927.1,18.233,95.634,2.15,1.538,2.152,144.065,shale
927.2,18.437,94.688,2.163,1.543,2.15,143.893,shale
927.3,18.635,94.232,2.175,1.546,2.148,143.497,shale
927.4,18.846,94.003,2.186,1.55,2.147,142.989,shale
927.5,19.081,93.814,2.2,1.555,2.147,142.421,shale
927.6,19.34,93.57,2.217,1.564,2.149,141.827,shale
927.7,19.61,93.186,2.241,1.576,2.152,141.295,shale
927.8,19.88,92.585,2.274,1.594,2.157,140.934,shale
927.9,20.154,91.841,2.316,1.617,2.162,140.78,shale
928,20.443,91.103,2.364,1.641,2.166,140.689,shale
928.1,20.759,90.375,2.407,1.661,2.168,140.269,shale
928.2,21.091,89.652,2.429,1.667,2.167,139.16,shale
928.3,21.411,88.925,2.416,1.652,2.164,137.448,shale
928.4,21.685,88.216,2.365,1.617,2.161,135.735,shale
928.5,21.891,87.598,2.285,1.568,2.158,134.78,shale
928.6,22.032,87.092,2.192,1.513,2.152,134.895,shale
928.7,22.137,86.612,2.103,1.461,2.138,135.829,shale
928.8,22.231,86.14,2.028,1.417,2.109,137.226,shale
928.9,22.317,85.654,1.973,1.383,2.058,139.057,shale
929,22.372,85.171,1.935,1.36,1.986,141.364,shale
929.1,22.36,84.748,1.908,1.344,1.906,144.022,shale
929.2,22.253,84.552,1.886,1.333,1.84,146.789,shale
929.8,20.132,86.017,1.805,1.302,1.849,151.472,shale
929.9,19.776,87.445,1.817,1.312,1.919,151.294,shale
930,19.507,89.251,1.838,1.327,1.987,150.729,shale
930.1,19.346,90.935,1.866,1.344,2.045,149.862,shale
930.2,19.288,92.01,1.895,1.36,2.087,148.81,shale
930.3,19.303,92.288,1.918,1.372,2.116,147.46,shale
930.4,19.35,91.847,1.93,1.376,2.135,145.929,shale
930.5,19.389,91.031,1.932,1.373,2.146,144.712,shale
930.6,19.398,90.288,1.93,1.369,2.152,144.277,shale
930.7,19.372,89.964,1.933,1.368,2.154,144.403,shale
930.8,19.326,90.105,1.951,1.377,2.155,144.531,shale
930.9,19.275,90.478,1.99,1.399,2.156,144.252,shale
931,19.237,90.827,2.05,1.433,2.158,143.487,shale
931.1,19.219,90.996,2.127,1.478,2.161,142.4,shale
931.2,19.223,91.014,2.21,1.527,2.166,141.163,shale
931.3,19.244,91.065,2.286,1.57,2.172,140.057,shale
931.4,19.275,91.398,2.34,1.6,2.177,139.222,shale
931.5,19.312,92.215,2.367,1.613,2.181,138.561,shale
931.6,19.357,93.45,2.37,1.61,2.184,137.918,shale
931.7,19.414,94.651,2.356,1.597,2.186,137.376,shale
931.8,19.485,95.282,2.338,1.581,2.189,137.108,shale
931.9,19.559,95.056,2.324,1.568,2.192,137.057,shale
932,19.622,94.165,2.316,1.561,2.195,137.039,shale
932.1,19.658,92.985,2.317,1.56,2.197,137.094,shale
932.2,19.654,91.882,2.324,1.567,2.198,137.463,shale
932.3,19.619,91.067,2.336,1.578,2.197,138.232,shale
932.4,19.584,90.609,2.351,1.591,2.195,139.136,shale
932.5,19.588,90.424,2.365,1.605,2.192,139.752,shale
932.6,19.665,90.394,2.379,1.619,2.189,139.976,shale
932.7,19.82,90.443,2.39,1.63,2.187,140.074,shale
932.8,20.027,90.603,2.397,1.638,2.185,140.291,shale
932.9,20.234,90.865,2.399,1.642,2.184,140.547,shale
933,20.388,91.131,2.398,1.642,2.183,140.564,shale
933.1,20.457,91.302,2.394,1.64,2.181,140.125,shale
933.2,20.44,91.475,2.391,1.638,2.18,139.278,shale
933.3,20.364,91.84,2.39,1.637,2.18,138.308,shale
933.4,20.264,92.57,2.396,1.64,2.181,137.563,shale
933.5,20.166,93.6,2.41,1.648,2.184,137.194,shale
933.6,20.092,94.596,2.432,1.661,2.189,137.045,shale
933.7,20.067,95.14,2.46,1.679,2.196,136.821,shale
933.8,20.127,95.004,2.49,1.698,2.201,136.395,shale
933.9,20.307,94.142,2.517,1.715,2.205,135.99,shale
934,20.626,92.757,2.537,1.727,2.206,135.926,shale
934.1,21.076,91.218,2.549,1.732,2.205,136.328,shale
934.2,21.611,89.88,2.554,1.732,2.202,136.985,shale
934.3,22.171,88.869,2.558,1.731,2.199,137.639,shale
934.4,22.709,88.254,2.571,1.733,2.196,138.21,shale
934.5,23.205,88.046,2.601,1.744,2.194,138.727,shale
934.6,23.684,88.22,2.653,1.765,2.192,139.16,shale
934.7,24.2,88.664,2.725,1.796,2.19,139.388,shale
934.8,24.812,89.136,2.807,1.829,2.188,139.31,shale
934.9,25.559,89.271,2.883,1.858,2.185,138.696,shale
935,26.441,88.894,2.934,1.874,2.182,137.203,shale
935.1,27.42,88.019,2.951,1.874,2.18,134.78,shale
935.2,28.429,86.935,2.938,1.861,2.178,131.984,shale
935.3,29.395,85.962,2.909,1.843,2.177,129.639,shale
935.4,30.256,85.282,2.885,1.828,2.175,128.304,shale
935.5,30.98,84.845,2.881,1.824,2.167,128.049,shale
935.6,31.554,84.441,2.906,1.835,2.152,128.507,shale
935.7,31.98,83.839,2.963,1.863,2.13,129.458,shale
935.8,32.263,83.049,3.045,1.902,2.1,130.435,shale
935.9,32.406,82.265,3.143,1.949,2.063,130.556,shale
936,32.415,81.656,3.24,1.994,2.019,129.432,shale
936.1,32.305,81.224,3.318,2.029,1.97,127.637,shale
936.2,32.128,80.96,3.368,2.049,1.915,126.243,shale
936.3,31.964,80.907,3.388,2.055,1.863,126.009,shale
936.4,31.895,81.154,3.378,2.048,1.821,127.124,shale
936.6,32.239,82.695,3.231,1.975,1.806,129.118,shale
936.7,32.66,83.72,3.057,1.892,1.839,127.87,shale
936.8,33.213,84.522,2.818,1.775,1.894,125.422,shale
936.9,33.855,84.77,2.554,1.644,1.956,123.368,shale
937,34.525,84.36,2.316,1.524,2.011,123.186,shale
937.1,35.143,83.541,2.142,1.436,2.051,125.494,shale
937.2,35.608,82.834,2.052,1.392,2.075,128.952,shale
937.3,35.818,82.79,2.054,1.398,2.091,131.814,shale
937.4,35.713,83.739,2.151,1.457,2.104,133.14,shale
937.5,35.315,85.656,2.347,1.571,2.119,132.687,shale
937.6,34.715,88.172,2.633,1.735,2.136,131.044,shale
937.7,34.042,90.703,2.973,1.928,2.155,129.025,shale
937.8,33.397,92.736,3.293,2.109,2.169,127.265,shale
937.9,32.83,94.021,3.513,2.23,2.178,126.099,shale
938,32.344,94.597,3.597,2.269,2.181,126.186,shale
938.1,31.922,94.643,3.569,2.239,2.182,127.43,shale
938.2,31.549,94.389,3.471,2.166,2.181,128.757,shale
938.3,31.224,93.893,3.335,2.071,2.178,129.356,shale
938.4,30.957,93.034,3.176,1.967,2.171,128.943,shale
938.5,30.755,91.786,3.009,1.865,2.158,128.235,shale
938.6,30.609,90.387,2.857,1.777,2.143,128.426,shale
938.7,30.504,89.271,2.744,1.714,2.125,129.881,shale
938.8,30.423,88.857,2.691,1.684,2.109,131.875,shale
938.9,30.36,89.304,2.711,1.694,2.099,133.45,shale
939,30.322,90.457,2.803,1.742,2.096,134.036,shale
